,type,isfood_encoded
35908,Taxi Local ,0
35909,others ,0
35910, miles travelled,0
35911,Entertainment NON UK client Emp,0
35912,Meals Client Entertainment,1
35913,Parking Tolls Cong Charge,0
35914,Gasoline,0
35915,UK Per Diem,1
35916,Taxi,0
35917,Entertainment ,0
35918,Breakfast left home pre am,1
35919,Hotel Accommodation,0
35920,Others,0
35921, Plane,0
35922,Dinner,1
35923,Taxi,0
35924,Meals for day trip,1
35925,Rail,0
35926,Entertainment Gift presents,0
35927,Parking,0
35928, Mileage allowances BULL,0
35929, miles travelled,0
35930,Parking Tolls Cong Charge,0
35931,Train,0
35932,Excess Travel Change of office,0
35933,Eve Meal re overnight stay,1
35934,Entertainment Staff ,0
35935,Parking Tolls Cong Charge,0
35936,Train,0
35937,Hotel domestic accomad ,0
35938,Rail,0
35939,Hotel domestic accomad ,0
35940,Taxi,0
35941, Mileage allowances BULL,0
35942, Lunch Drink VAT ,1
35943,Total Per diem,1
35944,Train ,0
35945, Hotel except Paris Sophia,0
35946,Taxi,0
35947,Gasoline,0
35948,Gasoline,0
35949, Meal allowance Paris,1
35950, Meal allowance country,1
35951,Rail,0
35952,Taxis,0
35953,Other Tolls,0
35954,Public transport,0
35955,Underground,0
35956,Motorway Car park,0
35957,Lunch when at NON client site,1
35958, Taxi,0
35959,Train,0
35960,Rail,0
35961,Rail,0
35962,Underground,0
35963,Excess Travel Change of office,0
35964,Total Per diem,1
35965,Other travel expenses,0
35966,Meals for day trip,1
35967,Mobile,0
35968, Hotel abroad,0
35969,Other Expenses Meals,0
35970,Taxis,0
35971,Underground,0
35972,Eve Meal re overnight stay,1
35973,Airfare abroad,0
35974,Rail,0
35975,Train,0
35976,Taxi,0
35977, Pers Internet Home work,0
35978, Lunch,1
35979, Train,0
35980,Taxi,0
35981, Lunch,1
35982,Prkng toll Frry Int Bus Trp,0
35983,others ,0
35984,Per diem Dinner,1
35985,Hotel Accommodation,0
35986,Meals Business Or Travel,1
35987,Meals for day trip,1
35988,Hotel Accommodation,0
35990,Taxi,0
35991, Lunch,1
35992,Taxis,0
35993,Parking Tolls Cong Charge,0
35994,Staff Welfare Expenses,0
35995,Per diem Lunch,1
35996,Taxi,0
35997, Lunch,1
35998, Parking,0
35999,Train,0
36000,Meals for day trip,1
36001,Per diem Lunch,1
36002,Taxi ,0
36003, Parking,0
36004,Lunch Non working day,1
36005, Dinner Paris,1
36006, Meal allowance country,1
36007,Parking toll ferry client car,0
36008,Parking Tolls Cong Charge,0
36009, Transports Subscription ,0
36010,UK Per Diem,1
36011, Taxi,0
36012,Meals for day trip,1
36013, miles travelled,0
36014,Taxi,0
36015,Underground,0
36016,Meals for day trip,1
36017, Meal allowance country,1
36018,Bank fees,0
36019,Hotel Lodging,0
36020,Meals for day trip,1
36021,Lunch when at NON client site,1
36022,Rail,0
36023,Train km ,0
36024,Motorway Car park,0
36025,Gasoline,0
36026,Hotel Accommodation,0
36027,Employee meal restaurant dk,0
36028,Rail,0
36029,others ,0
36030,Parking Tolls Cong Charge,0
36031,Others local claims ,0
36032, Transports occasional ,0
36033,Hotel domestic breakf etc,0
36034,others ,0
36035,Parking,0
36036, Mileage allowances BULL,0
36037,Lunch when at NON client site,1
36038,Tool,0
36039,Local Transport allowance,0
36040,Taxi,0
36041,Taxis,0
36042,Taxi Travelled KMs,0
36043,Hotel,0
36044,Telephone Internet,0
36045,Conveyance Expenses,0
36046,Meals for day trip,1
36047, Meal allowance country,1
36048,Hotel,0
36049, Pers Internet Home work,0
36050, Hotel Paris Sophia,0
36051,Parking Tolls Cong Charge,0
36052,Train km ,0
36053,Other Tips non meals ,0
36054,Gasoline,0
36055,Lunch when at NON client site,1
36056,Parking,0
36057, Reception,1
36058,Toll Fee Local ,0
36059,Rail,0
36060,Underground,0
36061,others ,0
36062,Hotel domestic accomad ,0
36063,Parking Toll ERP,0
36064,Meals for day trip,1
36065,Hotel domestic accomad ,0
36066,Per diem Dinner,1
36067,Lunch when at NON client site,1
36068,Lunch when at NON client site,1
36069,Personal Car,0
36070, Toll,0
36071,Taxi,0
36072,Travel Exp,1
36073,Parking Tolls Cong Charge,0
36074,Taxi Local ,0
36075,Public Transport,0
36076,Car Rental,0
36077,FOREIGN TRAVEL PUBLIC Trnsp,0
36078,Parking,0
36079,Parking,0
36080,Total Per diem,1
36081,Travel Exp,1
36082,Taxi,0
36083,Taxi,0
36084, Pers Internet Home work,0
36085,Sundry,0
36086,Train km ,0
36087,Carburant Diesel,0
36088,Taxis,0
36090, Dinner Drink VAT ,1
36091, Diesel,0
36092,Rail,0
36093,Taxi Travelled KMs,0
36094,Meals for day trip,1
36095, Hotel except Paris Sophia,0
36096,Parking Tolls Cong Charge,0
36097,Air Travel,0
36098, Car rental,0
36099,Train km ,0
36100,Hotel,0
36101,Parking Toll ERP,0
36102,Lunch when at NON client site,1
36103,Hotel,0
36104,Per diem Lunch,1
36105,Gasoline,0
36106, Dinner Drink VAT ,1
36107, Meal allowance Paris,1
36108,Travel Exp,1
36109, Mileage allowances BULL,0
36110,Lunch when at NON client site,1
36111,Meals Business Or Travel,1
36112, Lunch,1
36114,Sundry,0
36115,Rail,0
36116,Taxi,0
36117,Motorway Car park,0
36118,Lunch when at NON client site,1
36119,Hotel domestic breakf etc,0
36120,Taxi ,0
36121,Bridge Storebaelt,0
36122,Hotel domestic breakf etc,0
36123,Others,0
36124,Parking toll ferry client car,0
36125, miles travelled,0
36126,Train km ,0
36127,Taxi Local ,0
36128, Lunch Drink VAT ,1
36129,Toll Fee Local ,0
36130,Personal Incidental Exp UK,0
36131,Other Expenses Meals,0
36132,Breakfast left home pre am,1
36133, Meal abroad,1
36134,Taxis,0
36136,Train km ,0
36137,Underground,0
36138,Other expenses,0
36139, miles travelled,0
36140,Air Travel,0
36141,Lunch when at NON client site,1
36142, Housing allowance country,0
36143,Overseas Receipted Meals,1
36144,Per diem Dinner,1
36145, Taxi,0
36146,Train,0
36147,Personal Incidental Exp UK,0
36148,Meals Business Or Travel,1
36149,Train abroad,0
36150, Meal allowance Paris,1
36151,UK Per Diem,1
36152,Hotel,0
36153,Conveyance Expenses,0
36154, miles travelled,0
36155,Airfare,0
36156, Parking,0
36157,Bus,0
36158,Airfare abroad,0
36159,Parking,0
36160,Lunch when at NON client site,1
36161,Foreign Travel Local Convey ,0
36162, Mileage allowances BULL,0
36164,Hotel domestic accomad ,0
36165,UK Per Diem,1
36166,Urb transport bus tram metro ,0
36167,Taxi ,0
36168, Housing allow Paris Sophia,0
36169, Dinner Paris,1
36170,Local Travel Daily Allowance,0
36171,Hotel Accommodation,0
36172,Car Rental,0
36173,Parking Tolls Cong Charge,0
36174, Toll,0
36175, Lunch,1
36176, miles travelled,0
36177,Hotel,0
36178, miles travelled,0
36179, Lunch,1
36180, miles travelled,0
36181,Hotel Accommodation,0
36182,Rail,0
36183, Transports Subscription ,0
36184,Garage,0
36185,Lunch when at NON client site,1
36187,Taxi abroad,0
36188, Parking,0
36189,Rail,0
36190,Motorway Car park,0
36191, Lunch,1
36192,Rail,0
36193,Taxis,0
36194, Lunch,1
36195,Taxi ,0
36196,Entertainment NON UK client Emp,0
36197, Lunch,1
36198,Rail,0
36199,Lunch when at NON client site,1
36200,Taxi,0
36201,Taxi,0
36202,Lunch,1
36203,Rental car,0
36204,Rail,0
36205, miles travelled,0
36206, Lnch Dnnr Paris cumulated ,1
36207,Rail,0
36208,Urb transport bus tram metro ,0
36209,Hotel Accommodation,0
36210,Taxi,0
36211,Rail,0
36212,Parking Tolls Cong Charge,0
36213, Meal abroad,1
36214,Train km ,0
36215,Meals for day trip,1
36216,Parking Tolls Cong Charge,0
36217, Lunch,1
36218,Hotel,0
36219, miles travelled,0
36220,Telepass,0
36221,Diesel Domestic,0
36222, miles travelled,0
36223, Car rental,0
36224, miles travelled,0
36225,MTR,0
36226,Taxis,0
36227,Breakfast after overnight stay,1
36228, Lunch,1
36229,Motorway Car park,0
36230,Parking,0
36231,Rail,0
36232,Breakfast after overnight stay,1
36233,Hotel domestic breakf etc,0
36234,Hotel Accommodation,0
36235, Parking,0
36236,Others ,0
36237,Taxis,0
36238,Meal allowance OT FB,1
36239,Lunch when at NON client site,1
36240,Parking Tolls Cong Charge,0
36241,Lunch when at NON client site,1
36242,Meals for day trip,1
36243,Public Transport,0
36244, miles travelled,0
36245,Taxi ,0
36246,Rail,0
36247,Gasoline,0
36248, Parking,0
36249,Conveyance Expenses,0
36250,Meals GST,1
36251,DOMESTIC TRAVEL PARKING EXP ,0
36252,Hotel Accommodation,0
36253,Taxi Local ,0
36254,Taxi,0
36255,Meals for day trip,1
36256, Reception,1
36257,Rail,0
36258,Standby allowance Accor FB,0
36259,Taxis,0
36260,Business meal,1
36262,Taxi Local ,0
36263,Hotel Accommodation,0
36264,Dinner,1
36265,Hotel F C,0
36266,Client Entertainment,0
36267, Transports Subscription ,0
36268,Underground,0
36269,Parking Tolls Cong Charge,0
36270,Taxi,0
36271,Hotel Accommodation,0
36272,Other Incidentals,0
36273, Toll,0
36274,Per diem Dinner,1
36275,Telephone Internet,0
36276,Hotel domestic accomad ,0
36277, Taxi,0
36278,Lodging incl breakfast,0
36279,Taxi Local ,0
36280,Taxi,0
36281,Taxis,0
36282, miles travelled,0
36283,Breakfast left home pre am,1
36284,Breakfast,1
36285,Taxi,0
36286,Breakfast left home pre am,1
36287,Hotel Accommodation,0
36288,others ,0
36289,Lunch when at NON client site,1
36290, miles travelled,0
36291, Toll,0
36292,Breakfast left home pre am,1
36293,Meals for day trip,1
36294,Taxis,0
36295,Motorway Car park,0
36296,Communication Others,0
36297,Airfare abroad,0
36298,Meals for day trip,1
36299,DOMESTIC TRAVEL STAFF MEALS,0
36300,Hotel Accommodation,0
36302,Water,1
36303, Meal allowance Paris,1
36304, miles travelled,0
36305,Taxi Local ,0
36306,Daily Allowance Others ,1
36307,Train km ,0
36308,Urb transport bus tram metro ,0
36309,Prkng toll Frry Int Bus Trp,0
36310,Train km ,0
36311,Daily Allowance Dinner ,1
36312,Taxis,0
36313,Dinner Executives F C,1
36314, Transports occasional ,0
36315,Taxis,0
36316, miles travelled,0
36317,Hotel domestic breakf etc,0
36318,Hotel,0
36319,Taxis,0
36320,Entertainment ,0
36321,Meals for day trip,1
36322,Taxis,0
36323, Lunch,1
36324, Small equipment,0
36325,Conveyance Expenses,0
36326,Eve Meal re overnight stay,1
36327, Lunch,1
36328,Other Expenses Meals,0
36329, miles travelled,0
36330, Pers Internet Home work,0
36331,Mobile,0
36332,Lunch Dinner max F C,1
36333,Difference in Exchange,0
36334,Rail,0
36335,Taxi,0
36336, Dinner Paris,1
36337,Client Entertainment,0
36338, Lunch,1
36339,Hotel Accommodation,0
36340,Meals for day trip,1
36341,Lunch when at NON client site,1
36342,UK Per Diem,1
36343,Underground,0
36344, miles travelled,0
36345,Metropolitan public transport,0
36346, Taxi,0
36347,Train km ,0
36348,Personal Car,0
36349, Toll,0
36350, Meal allowance Paris,1
36351,Breakfast left home pre am,1
36352,others ,0
36353,Hotel I C,0
36354,Underground,0
36355, Lunch,1
36356,Other Expenses Others,0
36357, Lunch,1
36358,Parking Tolls Cong Charge,0
36359,Parking,0
36360, Transports occasional ,0
36361,Taxi,0
36362, miles travelled,0
36363,Taxis,0
36364,Lunch when at NON client site,1
36365,Taxi,0
36366, Toll,0
36367,Lunch,1
36368,Late Sitting Conveyance,0
36369,Petrol,0
36370,Hotel Accommodation,0
36371, Dinner Paris,1
36372, Parking,0
36373,Hotel Accommodation,0
36374, Hotel Paris Sophia,0
36375,Lunch when at NON client site,1
36376,Taxi,0
36377,Restaurant abroad,0
36378,Travel card,0
36379, Lunch,1
36380,Others local ,0
36381, Meal allowance country,1
36382,others ,0
36383,Taxi,0
36384, miles travelled,0
36385,Hotel abroad,0
36386,Taxi,0
36387, Meal allowance Paris,1
36388,Parking Toll ERP,0
36389,Parking Tolls Cong Charge,0
36390,Telephone Internet,0
36391,Parking Tolls Cong Charge,0
36392,Parking Toll ERP,0
36393,Parking,0
36394,Travel Exp,1
36395,Meals for day trip,1
36396, Mileage allowances BULL,0
36397,Gasoline,0
36398, Dinner Drink VAT ,1
36399,Parking Tolls Cong Charge,0
36400, miles travelled,0
36401,Other expenses,0
36402, Lunch,1
36403,Other Tolls,0
36404,Meals for day trip,1
36405,Petrol,0
36406,Meals for day trip,1
36407,Bus,0
36408,Hotel Accommodation,0
36409,Per diem Dinner,1
36411,Parking Tolls Cong Charge,0
36412,Hotel domestic accomad ,0
36413,Taxi,0
36414,Rail,0
36415,Lunch when at NON client site,1
36416,Taxi,0
36417,Parking Tolls Cong Charge,0
36418, Lunch,1
36419,Other Expenses Others,0
36420, Parking,0
36421,Hotel domestic breakf etc,0
36422,Parking Toll ERP,0
36423, miles travelled,0
36424,Taxi Local ,0
36425,Parking Tolls Cong Charge,0
36426,Rail,0
36427,Lunch when at NON client site,1
36428,Parking Tolls Cong Charge,0
36429,Taxi,0
36430,Lunch Dinner max F C,1
36431, miles travelled,0
36432, miles travelled,0
36433,Train km ,0
36434,Per diem Lunch,1
36435,Parking Tolls Cong Charge,0
36436,Others local ,0
36437,Stationary Postage Printing,0
36438,UK Per Diem,1
36439,Parking Tolls Cong Charge,0
36441, Pers Internet Home work,0
36443,Rail,0
36444,Taxi,0
36445, miles travelled,0
36446,Parking Tolls Cong Charge,0
36447,Eve Meal re overnight stay,1
36448, Housing allowance country,0
36449,Metropolitan public transport,0
36450,Rail,0
36451,Lunch when at NON client site,1
36452,Parking Tolls Cong Charge,0
36453, Transports Subscription ,0
36454,Underground,0
36455,Other Incidentals,0
36456, Parking,0
36457,Office Supplies,0
36458, Lunch,1
36459,Parking Tolls Cong Charge,0
36460, Pers Internet Home work,0
36461,others ,0
36462,Lunch when at NON client site,1
36463,Parking fee,0
36464,Late Sitting Conveyance,0
36465,Train ,0
36467,Per diem Dinner,1
36468,Parking Tolls Cong Charge,0
36469,Meals for day trip,1
36470,Production support Accor FB,0
36472, Dinner country,1
36473, miles travelled,0
36474, Reception,1
36475,Hotel Accommodation,0
36476, Taxi,0
36477,Misc Travel,0
36479,Lunch,1
36480, Car rental,0
36481, Breakfast,1
36482,Taxi,0
36483, Dinner Drink VAT ,1
36484,Gasoline,0
36485,Local tax,0
36486, Meal allowance Paris,1
36487,UK Per Diem,1
36488, Small equipment,0
36489, Parking,0
36490,Taxi,0
36491, Pers Internet Home work,0
36492,Parking toll ferry client car,0
36493,Parking Tolls Cong Charge,0
36495,Entertainment Gift presents,0
36496,Rail,0
36497,Parking Toll ERP,0
36498,Parking Toll ERP,0
36499,Taxi,0
36500, miles travelled,0
36501,Other Tolls,0
36502,FOREIGN TRAVEL rd PartyTRAVEL,0
36503,Taxis,0
36504,Conveyance Expenses,0
36505,Parking Tolls Cong Charge,0
36506,Employees meals,1
36507,Meals for day trip,1
36508, Pers Internet Home work,0
36509, Meal allowance country,1
36510,Hotel Accommodation,0
36511, Lunch,1
36512,Parking toll and ferry,0
36513,Hotel Accommodation,0
36514,Train abroad,0
36515, Dinner country,1
36516,Parking Tolls Cong Charge,0
36517,Gasoline,0
36518,Taxi,0
36519,Taxis,0
36520,Hotel F C,0
36521,Parking Tolls Cong Charge,0
36522, Taxi,0
36523,Personal Incidental Exp UK,0
36524,Rail,0
36525, Pers Internet On call,0
36526,Hotel Accommodation,0
36527,Daily Allowance Others ,1
36528,UK Per Diem,1
36529,Telephone Internet,0
36530,Accommodation Hotel,0
36531,Underground,0
36532,Rail,0
36533,Staff Welfare Expenses,0
36534,Parking Tolls Cong Charge,0
36535,Rail,0
36536, miles travelled,0
36537,Meals for day trip,1
36538,Toll Fee Local ,0
36539,Metropolitan public transport,0
36540, Train,0
36541,UK Per Diem,1
36542,Taxi,0
36543,Train,0
36544, miles travelled,0
36545, Lnch Dnnr Paris cumulated ,1
36546,Taxi,0
36547,Motorway Car park,0
36548,Parking Tolls Cong Charge,0
36549, Breakfast,1
36551, Toll,0
36552, Pers Internet Home work,0
36553,Eve Meal re overnight stay,1
36554,Rail,0
36555, Lunch,1
36556, Reception,1
36557,Hotel Accommodation,0
36558,Entertainment NON UK client Emp,0
36559,Taxis,0
36560,Hotel,0
36561,Lunch when at NON client site,1
36562,Meals for day trip,1
36563, Mileage allowances BULL,0
36565,Lunch when at NON client site,1
36566, Lunch,1
36567,Parking Tolls Cong Charge,0
36568,Motorway Car park,0
36569,Late Sitting Conveyance,0
36570, Meal allowance Paris,1
36571, Lunch Drink VAT ,1
36572,Others e g breakfast doctor ,0
36573,Hotel domestic accomad ,0
36574,Hotel domestic accomad ,0
36575,Hotel,0
36576, Lunch,1
36577, miles travelled,0
36578,Business meal,1
36579, Lunch,1
36580, Dinner country,1
36581,Parking Tolls Cong Charge,0
36582, Pers Internet Home work,0
36583, Breakfast,1
36584,Hotel domestic breakf etc,0
36585, miles travelled,0
36586, miles travelled,0
36587,Underground,0
36588,Lunch when at NON client site,1
36589,Hotel Accommodation,0
36590,Training Seminars,0
36591, Meal allowance country,1
36592,Toll Fee Local ,0
36593,Entertainment ,0
36594,Meals for day trip,1
36595,Lunch when at NON client site,1
36596, Meal allowance country,1
36597, miles travelled,0
36598,Other travel expenses,0
36599,Telephone Mobile,0
36600,Meals Business Or Travel,1
36601, Transports occasional ,0
36602,Fuel Hire Pool Car Fuel Card,0
36603,Hotel Accommodation,0
36604,Parking Tolls Cong Charge,0
36605,Meals for day trip,1
36606, miles travelled,0
36607, Toll,0
36608,Local Conveyance Intercity,0
36609,Metropolitan public transport,0
36610,Taxi Local ,0
36611,Taxis,0
36612, Taxi,0
36613,Meals Business Or Travel,1
36614,Hotel Lodging,0
36615,Hotel domestic accomad ,0
36616,Mobile Phone GST,0
36617,Meals for day trip,1
36618,Other Per Diem,0
36619,Meal allowance OT FB,1
36620, miles travelled,0
36621,Taxis,0
36622, Taxi,0
36623,Meals for day trip,1
36624,Parking tax relevant,0
36625,Parking,0
36626,Expenses for representation,0
36627,others ,0
36628,Parking Tolls Cong Charge,0
36629,Toll Fee Local ,0
36630,Taxis,0
36631,Hotel Accommodation,0
36632, Train,0
36633, miles travelled,0
36634,Taxi,0
36635,Benefits ,0
36636,Meals for day trip,1
36637,Hotel domestic accomad ,0
36638, miles travelled,0
36639,others ,0
36640,Parking Tolls Cong Charge,0
36641,Hotel,0
36642, miles travelled,0
36643,Lunch when at NON client site,1
36644,Telepass,0
36645,Taxi,0
36646,Taxis,0
36647,Taxis,0
36648,Rail,0
36649,Parking Tolls Cong Charge,0
36650, Pers Internet Home work,0
36651,Hotel,0
36652,Taxi,0
36653, Dinner Paris,1
36654, Breakfast,1
36655, miles travelled,0
36656,Hotel domestic breakf etc,0
36657,Travel Exp,1
36658, Toll,0
36659, Dinner Drink VAT ,1
36660,Lodging incl breakfast,0
36661,Parking Tolls Cong Charge,0
36662,Other Training Expenses,0
36663, Pers Internet Home work,0
36664,Meals Business Or Travel,1
36665,Telephone Mobile,0
36666,Gasoline,0
36667, Meal allowance Paris,1
36668,Meals Business Or Travel,1
36669,Motorway Car park,0
36670,Rail,0
36672,Motorway Car park,0
36673,Hotel Accommodation,0
36674, miles travelled,0
36675,Airfare AIT Company paid,0
36677,Other Expenses Others,0
36678, miles travelled,0
36679,Hotel Accommodation,0
36680,Accommodation for nights,0
36681, miles travelled,0
36682,Parking ERP,0
36683,Meals for day trip,1
36684,Taxis,0
36685, Lnch Dnnr Cntry cumulated ,1
36686,Meals Client Entertainment,1
36687, Reception,1
36688,Meals for day trip,1
36689,Motorway Car park,0
36690,Meals Business Or Travel,1
36691,Meals for day trip,1
36692,Meals for day trip,1
36693,Hotel domestic accomad ,0
36694, Lunch Drink VAT ,1
36695,Client Entertainment,0
36696,Underground,0
36697,Taxi,0
36698,Hotel domestic breakf etc,0
36699,non mon benefit breakfast,0
36700,Hotel Lodging,0
36702,Others ,0
36703,Hotel domestic breakf etc,0
36704, miles travelled,0
36705, Parking,0
36706, Meal allowance Paris,1
36707,Hotel Accommodation,0
36708,Taxi,0
36709,Diesel Domestic,0
36710,Dinner invitation,0
36711,Per diem Lunch,1
36712,Lodging incl breakfast,0
36713, Hotel Paris Sophia,0
36714,Parking Tolls Cong Charge,0
36715,Taxi,0
36716,Parking,0
36717,Personal Car,0
36718, miles travelled,0
36719,Parking Tolls Cong Charge,0
36720,Hotel domestic breakf etc,0
36721,Gasoline,0
36722,Taxi,0
36723, miles travelled,0
36724,UK Per Diem,1
36725,Others local ,0
36726,Taxi Local ,0
36727,Parking Tolls Cong Charge,0
36728,Hotel domestic accomad ,0
36729,Rail,0
36730,Difference in Exchange,0
36731,Meals Business Or Travel,1
36732,Taxis,0
36733, miles travelled,0
36734, miles travelled,0
36735,Rail,0
36736,Meals Business Or Travel,1
36737,Breakfast,1
36738,Hotel Accommodation,0
36739,Stationary Postage Printing,0
36740, miles travelled,0
36741, miles travelled,0
36742, Transports Subscription ,0
36743,Rail,0
36744,Lunch,1
36745,Taxis,0
36746,Lunch when at NON client site,1
36747,Travel Exp,1
36748,Lunch when at NON client site,1
36749,Conveyance Expenses,0
36750,Laundry,0
36751,Eve Meal re overnight stay,1
36752,Hotel Accommodation,0
36753,Taxi,0
36754,Hotel domestic accomad ,0
36755, Reception,1
36756,Eve Meal re overnight stay,1
36757,Rail,0
36758,Benefits ,0
36759,Airfare,0
36760,Breakfast left home pre am,1
36761,Dinner,1
36762,others ,0
36763,Taxi,0
36764, Meal allowance country,1
36765,Meals Business Or Travel,1
36766, miles travelled,0
36767,Eve Meal re overnight stay,1
36768,Rail,0
36769,Lunch when at NON client site,1
36770,others ,0
36771,Hotel Accommodation,0
36772,Taxi Local ,0
36773, Lunch,1
36774,Meals Business Or Travel,1
36775,Client Entertainment,0
36776,Parking Tolls Cong Charge,0
36777,Meals Business Or Travel,1
36778,Entertainment ,0
36779,Plane,0
36780,Taxis,0
36781,others ,0
36782, Pers Internet Home work,0
36783,Telephone Internet,0
36784, miles travelled,0
36785,Rail,0
36786, Mileage allowances BULL,0
36787,Others abroad,0
36788,Taxi Finland VAT,0
36789,Rail,0
36790, Car rental,0
36791,Highway,0
36792,Urb transport bus tram metro ,0
36793,Lunch when at NON client site,1
36794,Train,0
36795, Hotel except Paris Sophia,0
36796,Ferry Other transportation,0
36797,Meals Business Or Travel,1
36798,Telephone Landline,0
36799,Parking Tolls Cong Charge,0
36800, Transports Subscription ,0
36801, miles travelled,0
36802,Underground,0
36803, miles travelled,0
36804,Motorway Car park,0
36805, Taxi,0
36806,Taxi,0
36807,DOMESTIC TRAVEL STAFF MEALS,0
36808,Communication Others,0
36809, Lunch,1
36810,Rail,0
36811,Train,0
36812,Motorway Car Park,0
36813,Airfare,0
36814,Parking,0
36815,Parking toll ferry client car,0
36816,Underground,0
36817,Parking Tolls Cong Charge,0
36818,Train km ,0
36819, Toll,0
36820,Eve Meal re overnight stay,1
36821, miles travelled,0
36822,Taxi,0
36823,Hotel Accommodation,0
36824,Train km ,0
36825,Hotel domestic breakf etc,0
36826, Breakfast,1
36827,others ,0
36829,Office Supplies,0
36830,Parking Tolls Cong Charge,0
36831,Sundry,0
36832,Dinner invitation,1
36833,Underground,0
36834,Parking toll ferry client car,0
36835, Lunch,1
36836,others ,0
36837, miles travelled,0
36838,Taxi ,0
36839,Meals for day trip,1
36840,Airfare Ticket Charge Fee,0
36841,Lunch when at NON client site,1
36842,Taxis,0
36843,Parking Toll ERP,0
36844, Lunch,1
36845,Hotel domestic breakf etc,0
36846,Amex fees,0
36847, Lunch,1
36848,Underground,0
36849,Others e g breakfast doctor ,0
36850,Meals for day trip,1
36851,Eve Meal re overnight stay,1
36852,Parking,0
36853,Other Expenses Taxi,0
36854,Parking Tolls Cong Charge,0
36855,Per diem Night,0
36856,Telephone Landline,0
36857, Books,0
36858,Rail,0
36860, miles travelled,0
36861,Service Private Sector,0
36862,UK Per Diem,1
36863,Taxi,0
36864,Meals for day trip,1
36865, Transports Subscription ,0
36866,Hotel domestic accomad ,0
36867,Per diem Lunch,1
36868,Airfare,0
36869, Meal allowance Paris,1
36870,Lunch when at NON client site,1
36871,Hotel domestic breakf etc,0
36872, Lunch Drink VAT ,1
36873,Parking,0
36874,Lunch,1
36875,Lunch,1
36876,Lunch when at NON client site,1
36877, Taxi,0
36879,Meals Business Or Travel,1
36880,Metropolitan public transport,0
36881,Public transporation,0
36882,Travel Exp,1
36883,Meals Business Or Travel,1
36884, Transports occasional ,0
36885,Staff Ent Motivate Indiv Team,0
36886,Meals Business Or Travel,1
36887, miles travelled,0
36888,Foreign Travel Local Convey ,0
36889,Taxis,0
36890, Lunch,1
36891,Standby allowance Accor FB,0
36892,Sundry,0
36893,Local public transport,0
36894,Toll,0
36895,MRT LRT,0
36896,Overseas Receipted Meals,1
36897,Subway,0
36898,Meal allowance OT FB,1
36899,P age,0
36900,Rail,0
36901, Meal allowance country,1
36902,Lunch when at NON client site,1
36903,Meals Business Or Travel,1
36904,Train km ,0
36905,Underground,0
36906,Rental car,0
36907,Production support Accor FB,0
36908,Gasoline,0
36909,Taxi,0
36910,Train,0
36911, miles travelled,0
36912,Meals for day trip,1
36914, Dinner Drink VAT ,1
36915,Taxi Local ,0
36916,Lunch when at NON client site,1
36917,Parking Toll ERP,0
36918,others ,0
36919,UK Per Diem,1
36920, Parking,0
36921,Metropolitan public transport,0
36922,Air Travel,0
36923, Lunch,1
36924,Accommodation Hotel,0
36925,Train km ,0
36926, Meal abroad,1
36927,Rail,0
36928,Parking Tolls Cong Charge,0
36929,Taxi Local ,0
36930,Meals Business Or Travel,1
36931, Toll,0
36932,Lunch,1
36933,Telephone Internet,0
36934,Rail,0
36935, Transports occasional ,0
36936,Car Rental,0
36937, Lunch,1
36938,Rail,0
36939, Dinner Drink VAT ,1
36940,Taxis,0
36941, Hotel Paris Sophia,0
36942,Hotel Accommodation,0
36943,Public Transport,0
36944,Taxi,0
36945, miles travelled,0
36946, Meal allowance country,1
36947,Rail,0
36948,Lodging incl breakfast,0
36949,Meals for day trip,1
36950, Parking,0
36951,Breakfast,1
36952,Phone charge,0
36953,Restaurant abroad,0
36954, Meal allowance country,1
36955, Meal abroad,1
36956,Travel Exp,1
36957,Meals for day trip,1
36958,Air fare,0
36959,Others ,0
36960,Parking Toll ERP,0
36961,Parking,0
36962, Meal allowance Paris,1
36963, miles travelled,0
36964,Hotel domestic accomad ,0
36965,Taxi,0
36966, Transports Subscription ,0
36967,Airfare AIT Company paid,0
36968,Conveyance Expenses,0
36969,Taxis,0
36970, miles travelled,0
36971,Rail,0
36972, Reception,1
36973, miles travelled,0
36974,Train km ,0
36975,Other Expenses Meals,0
36976, Parking,0
36977,Underground,0
36978,Lunch when at NON client site,1
36979,Lunch,1
36980, miles travelled,0
36981,Hotel domestic breakf etc,0
36982,Travel Exp,1
36983, miles travelled,0
36984,Parking,0
36985,Hotel Lodging,0
36986,Taxi,0
36987,Lunch when at NON client site,1
36988,Foreign Travel Local Convey ,0
36989, Lunch,1
36990,Other Incidentals,0
36991,Telephone Mobile,0
36992, Hotel Paris Sophia,0
36993,FOREIGN TRAVEL STAFF MEALS,0
36994, Small equipment,0
36995,Training No GST,0
36996,Conveyance Expenses,0
36997,Rail,0
36998,Hotel Accommodation,0
36999,Office Supplies,0
37000,Other Travelling Exp Local ,0
37001,Airfare abroad,0
37002,Lunch when at NON client site,1
37003,Gasoline,0
37004,Rail,0
37005,Eve Meal re overnight stay,1
37006, miles travelled,0
37007, Hotel abroad,0
37008, Lunch,1
37009,Train trip for business,0
37010,Public transportation,0
37011,Taxi Local ,0
37013,Taxi,0
37014,Hotel domestic accomad ,0
37015,Entertainment Gift presents,0
37016,Hotel domestic accomad ,0
37017, Mileage allowances BULL,0
37018,Taxi,0
